date,site,precip_tot,spi,spei
1987-09-01,colosso_clust,162.96037046382125,NA,NA
1987-10-01,colosso_clust,65.6493593258178,NA,NA
1987-11-01,colosso_clust,31.55,-1.1778731190806195,-1.3684965164554885
1987-12-01,colosso_clust,159.41061707550818,-1.3572891876970443,-1.64556530415281
1988-01-01,colosso_clust,297.8489579026084,-0.7447644228944351,-1.0418424357852059
1988-02-01,colosso_clust,249.7170939500295,-0.2556051066482435,-0.28813505119820415
1988-03-01,colosso_clust,181.85206036432538,-0.8340680369670976,-0.9653304795224357
1988-04-01,colosso_clust,296.754218146323,-1.4191916702649636,-1.5513922333591632
1988-05-01,colosso_clust,597.1709948235275,0.0789261422912658,-0.05891851609035428
1988-06-01,colosso_clust,210.08333333333331,0.9394719940127217,1.0235512675152363
1988-07-01,colosso_clust,127.06191966730522,1.1537096341727542,1.237706253044866
1988-08-01,colosso_clust,78.22660898676257,-0.4467376620505603,-0.4774238960536699
1988-09-01,colosso_clust,103.14331173170092,-0.6883803622350098,-0.7575930909217733
1988-10-01,colosso_clust,277.5757863304439,0.4273136658834063,0.2936016268209687
1988-11-01,colosso_clust,427.0161065541004,1.7988431289112579,1.8613465802913556
1988-12-01,colosso_clust,407.6754669962129,2.108891373613867,1.9945839798899714
1989-01-01,colosso_clust,192.9517560607622,1.409703157683412,1.4161671598051648
1989-02-01,colosso_clust,280.81853440735824,0.48885634768293584,0.6211279878587258
1989-03-01,colosso_clust,314.89866637520436,-0.561615111362223,-0.5550638696467173
1989-04-01,colosso_clust,355.45705591355545,-0.22265017598399572,-0.23300328797425726
1989-05-01,colosso_clust,604.943709428741,0.9587154958613184,1.0359854415146408
1989-06-01,colosso_clust,263.39614440448094,1.3735522996601957,1.4366886299892068
1989-07-01,colosso_clust,153.3507374164521,1.4927188459535023,1.610100544094724
1989-08-01,colosso_clust,78.99646191230684,0.13820579354289733,0.07597461849333001
1989-09-01,colosso_clust,70.94600430666799,-0.7384242779144015,-0.900743309747851
1989-10-01,colosso_clust,181.8747517285076,-0.4574163158763043,-0.7471677490349277
1989-11-01,colosso_clust,169.96737020625943,-0.038713115782744105,-0.18412386062962302
1989-12-01,colosso_clust,169.448963885692,0.11839328985397923,0.1208666183002668
1990-01-01,colosso_clust,269.447458801251,-0.2646209291659271,-0.21393687645697637
1990-02-01,colosso_clust,220.13766023227782,-0.5291761404435048,-0.4945962335963994
1990-03-01,colosso_clust,427.32521018105535,-0.054656957474938934,0.04605589744283538
1990-04-01,colosso_clust,423.6469000585612,0.3176760618106279,0.3959200379216602
1990-05-01,colosso_clust,333.66107080018065,0.5689421179325179,0.49707742296960084
1990-06-01,colosso_clust,150.54345272786344,0.0983710976763276,-0.017597599002730054
1990-07-01,colosso_clust,200.88534242549167,0.009387787378723025,-0.12681276240850256
1990-08-01,colosso_clust,186.65516495290433,0.40807849862799067,0.42672579329833515
1990-09-01,colosso_clust,116.08887263698645,0.6764124652975472,0.7256257016979776
1990-10-01,colosso_clust,116.50174630731908,0.10054002778041247,-0.044287117361974236
1990-11-01,colosso_clust,181.6366342880843,-0.1154709416919401,-0.3674488390996566
1990-12-01,colosso_clust,307.906171206293,0.4546555553984618,0.38199443153323287
1991-01-01,colosso_clust,277.9076505855775,0.4840078235588606,0.5477413678120507
1991-02-01,colosso_clust,200.86963467467788,0.08088709778674484,0.21173266048193384
1991-03-01,colosso_clust,474.86242277148574,0.0924111701222175,0.22745161272874842
1991-04-01,colosso_clust,293.683211344201,-0.1525704588603933,-0.12406812944982996
1991-05-01,colosso_clust,347.8660714247005,0.2605817593120294,0.2995687819920252
1991-06-01,colosso_clust,139.08715350296166,-0.4959430431385383,-0.5788051048184873
1991-07-01,colosso_clust,198.26887062473844,-0.0051453880478748645,-0.06380780938612304
1991-08-01,colosso_clust,132.90036831603283,-0.040498966837169574,0.04425188511956588
1991-09-01,colosso_clust,109.891845131777,0.3051076490718986,0.5305810337179645
1991-10-01,colosso_clust,144.7968672589676,-0.07372382356196462,0.0594032972739982
1991-11-01,colosso_clust,59.58805028122664,-0.7695064543590305,-0.7435545793816644
1991-12-01,colosso_clust,113.2433636882485,-0.9374822175311542,-0.939542313166212
1992-01-01,colosso_clust,161.41044021030487,-1.6467284513343807,-Inf
1992-02-01,colosso_clust,247.06160617834894,-1.1796334238157975,-1.2055761381699444
1992-03-01,colosso_clust,367.29339128950505,-0.6247104632483479,-0.5996930712643103
1992-04-01,colosso_clust,203.97577240693764,-0.9098643342901044,-0.8871141252875067
1992-05-01,colosso_clust,120.30859033700746,-2.0481056850972044,-1.7266499205866621
1992-06-01,colosso_clust,77.20948268965599,-2.8702994182029564,-2.3166042384700027
1992-07-01,colosso_clust,107.36336278196391,-2.5121439827792695,-1.9853402043835373
1992-08-01,colosso_clust,177.68778534955686,-0.9107057276085359,-0.8442196621967017
1992-09-01,colosso_clust,82.76800836848126,-0.2617411899179073,0.012860851731937711
1992-10-01,colosso_clust,93.81055079931276,-0.3629276584577815,-0.024164461855423338
1992-11-01,colosso_clust,92.54888469022742,-1.148423266169292,-0.7337142814499754
1992-12-01,colosso_clust,229.57191146161773,-0.3820860617311947,-0.09830017622259944
1993-01-01,colosso_clust,323.562086520369,0.014425046028610737,0.254302463692934
1993-02-01,colosso_clust,328.10395097174455,0.4941025830542727,0.7473139872340224
1993-03-01,colosso_clust,360.3127457388664,0.36154128812517283,0.5610492091436406
1993-04-01,colosso_clust,305.2157961925891,-0.04465541553587677,0.13417334213276186
1993-05-01,colosso_clust,214.90788535355574,-0.9445235909296444,-0.995675943119754
