yearmonth,site,precip_tot,spi
1987 Oct,cabo_frio,28.8,NA
1987 Nov,cabo_frio,40,NA
1987 Dec,cabo_frio,140.8,-2.269964410900803
1988 Jan,cabo_frio,299.1000001907349,-0.9486742995521663
1988 Feb,cabo_frio,217.35,-0.41801166847567556
1988 Mar,cabo_frio,206.9,-1.100545642512058
1988 Apr,cabo_frio,303.75,-2.0994901057818387
1988 May,cabo_frio,626.8000032424927,0.5081576175652368
1988 Jun,cabo_frio,254,1.3636112251720385
1988 Jul,cabo_frio,119.5,1.5740789715314818
1988 Aug,cabo_frio,54.15,-0.4994998095616907
1988 Sep,cabo_frio,94.4,-1.2724718863430542
1988 Oct,cabo_frio,286.40000019073483,0.3238631002118156
1988 Nov,cabo_frio,435.7,1.9684755935896936
1988 Dec,cabo_frio,444.8,2.5426437338678793
1989 Jan,cabo_frio,166.25,1.7638384048792444
1989 Feb,cabo_frio,302.25,0.8782038485232988
1989 Mar,cabo_frio,322.94999995231626,-0.6131457893391536
1989 Apr,cabo_frio,440.64999923706057,0.6040493614223894
1989 May,cabo_frio,616.6000001907348,1.981954964269241
1989 Jun,cabo_frio,253.00000019073485,1.9081110750185604
1989 Jul,cabo_frio,153.7,1.6786135340538448
1989 Aug,cabo_frio,58.5,-0.07380088412035579
1989 Sep,cabo_frio,65.7,-1.1561920771822736
1989 Oct,cabo_frio,181.3,-0.7391537069778119
1989 Nov,cabo_frio,287.00000152587893,0.4356157352418917
1989 Dec,cabo_frio,183.79999885559081,0.5958237031984303
1990 Jan,cabo_frio,214.33333333333331,0.20186995106175068
1990 Feb,cabo_frio,237.5,-0.5420299363176385
1990 Mar,cabo_frio,400.5999980926514,-0.20012677768637785
1990 Apr,cabo_frio,422.3000007629395,0.565389842468019
1990 May,cabo_frio,316.3,0.5194920208094184
1990 Jun,cabo_frio,156.2,-0.05514934121770831
1990 Jul,cabo_frio,185.1,-0.21460154179547608
1990 Aug,cabo_frio,106.25,-0.270909309934445
1990 Sep,cabo_frio,82.3,-0.15021004886300177
1990 Oct,cabo_frio,40.4,-1.5226427201260289
1990 Nov,cabo_frio,198.7,-1.1308647706484802
1990 Dec,cabo_frio,340.7999985218048,0.24915889008008998
1991 Jan,cabo_frio,293.2499996185303,0.8925372464926774
1991 Feb,cabo_frio,199.7,0.5046782685164197
1991 Mar,cabo_frio,419.3,0.18619499503869388
1991 Apr,cabo_frio,312.7,-0.38871829045232753
1991 May,cabo_frio,411.40000000000003,0.546647641771079
1991 Jun,cabo_frio,186.40000076293944,0.0289707028567507
1991 Jul,cabo_frio,217.15,0.668246990314043
1991 Aug,cabo_frio,125.75,0.6027384756852985
1991 Sep,cabo_frio,127.05,0.6989981420470005
1991 Oct,cabo_frio,144.10000010728837,0.03644192307115141
1991 Nov,cabo_frio,20.8,-1.3999492330004117
1991 Dec,cabo_frio,47.18333342075348,-2.2449601661451553
1992 Jan,cabo_frio,106.16666666666666,-3.619601951942928
1992 Feb,cabo_frio,245.7000012397766,-2.1390161717847986
1992 Mar,cabo_frio,397.8833337148031,-0.9080596537754989
1992 Apr,cabo_frio,240.6000009536743,-0.7632379506802665
1992 May,cabo_frio,156.80000114440918,-1.97956733914397
1992 Jun,cabo_frio,53.4,-3.0244480960162643
1992 Jul,cabo_frio,120.6,-2.66617367943371
1992 Aug,cabo_frio,176.71666660308838,-1.457782230533745
1992 Sep,cabo_frio,90.2,-0.01957579379344055
1992 Oct,cabo_frio,98.5833333067596,-0.21494963907827294
1992 Nov,cabo_frio,160.91666536331178,-0.8878806555646825
1992 Dec,cabo_frio,285.5833313345909,0.07168450245532672
1993 Jan,cabo_frio,402.33333301891884,0.9627673376365602
1993 Feb,cabo_frio,343.26666666666665,1.3943703313576001
1993 Mar,cabo_frio,370.0500003695488,1.3861424817024495
1993 Apr,cabo_frio,356.08333319822947,0.6291608633586615
1993 May,cabo_frio,240.88333377838134,-0.6564936412964595
1993 Jun,cabo_frio,242.16666191518306,-0.36162187749161784
1993 Jul,cabo_frio,131.93333239257336,-0.4776956295384131
1993 Aug,cabo_frio,73.53333337306977,-0.26996661477566447
1993 Sep,cabo_frio,180.7333335995674,-0.03184400832448297
1993 Oct,cabo_frio,175.3333334505558,0.28448821675727076
1993 Nov,cabo_frio,138.41666656434535,0.18132408148243537
1993 Dec,cabo_frio,205.53333442360162,-0.06477219434207204
1994 Jan,cabo_frio,266.71666748821735,-0.18466491672147622
1994 Feb,cabo_frio,234.5999981701374,-0.14348704041849109
1994 Mar,cabo_frio,278.76666666666665,-0.6924736459489454
1994 Apr,cabo_frio,425.3666666666667,-0.33437923323316676
1994 May,cabo_frio,263.45,-0.6524020178864416
1994 Jun,cabo_frio,177.4,-0.21086687824065772
1994 Jul,cabo_frio,146.9,-0.6523232445172232
1994 Aug,cabo_frio,135.95,-0.1285682956809306
1994 Sep,cabo_frio,172.8,0.5806920705640254
1994 Oct,cabo_frio,120.68333301544189,0.283256367519031
1994 Nov,cabo_frio,135.5,-0.2718483496658737
1994 Dec,cabo_frio,180.55,-0.5346930800123498
1995 Jan,cabo_frio,189.2,-0.790387030544594
1995 Feb,cabo_frio,139.45,-1.331693777278604
1995 Mar,cabo_frio,353.85,-1.4080187727195936
1995 Apr,cabo_frio,323.1166666666667,-1.321582416579988
1995 May,cabo_frio,274.78333333333336,-0.7673391451338196
1995 Jun,cabo_frio,179.26666666666665,-0.7193000328838831
1995 Jul,cabo_frio,154.16666666666669,-0.5205895152608456
1995 Aug,cabo_frio,85.31666666666666,-0.6040522364690447
1995 Sep,cabo_frio,102.55,-0.4607386801344695
1995 Oct,cabo_frio,141.48333334525427,-0.5230798336624902
1995 Nov,cabo_frio,269.2,0.3035994651478192
1995 Dec,cabo_frio,189.2,0.3478392082474057
1996 Jan,cabo_frio,331.2,0.6996180962948673
1996 Feb,cabo_frio,259.28333333333336,0.23715943642736204
1996 Mar,cabo_frio,407.55,0.7118504813764819
1996 Apr,cabo_frio,382.9,0.4893430978989381
1996 May,cabo_frio,265.9,-0.030347823932096667
1996 Jun,cabo_frio,208.26666666666668,-0.2614406203335928
1996 Jul,cabo_frio,125.73333333333333,-0.5737526657234633
1996 Aug,cabo_frio,211.2,0.7620489495305747
1996 Sep,cabo_frio,129.91666666666666,0.6735547312107151
1996 Oct,cabo_frio,219.25,1.16758969685933
1996 Nov,cabo_frio,170.1,0.34231323355879945
1996 Dec,cabo_frio,105.7,-0.1971475364425204
1997 Jan,cabo_frio,182.3,-1.0894432716889648
1997 Feb,cabo_frio,277.45,-0.9655405271027427
1997 Mar,cabo_frio,508.98333333333335,0.5358003654165985
1997 Apr,cabo_frio,240.55,0.3254195533695366
1997 May,cabo_frio,348.6,0.2504004995771588
1997 Jun,cabo_frio,74.5,-1.4282319286666805
1997 Jul,cabo_frio,78.3,-1.245275336085772
1997 Aug,cabo_frio,78.6,-3.2844771632096057
1997 Sep,cabo_frio,85.55,-1.5891573482640022
1997 Oct,cabo_frio,22.700000000000003,-2.0349616477094434
1997 Nov,cabo_frio,181.56666666666666,-1.4201604686075047
1997 Dec,cabo_frio,142.5,-1.1218520241669787
