"Data","Precipitacao","Umidade","Radiacao","Temperatura_Maxima","Temperatura_Minima","Velocidade_do_Vento","Evatotranspiracao"
"1980-01-01",14.71,88.42,15.04,31.33,22.8,1.02,3.44
"1980-01-02",9.88,92.81,14.33,29.11,22.34,1.48,2.54
"1980-01-03",13.75,89.72,17.72,32.09,22.33,0.77,3.64
"1980-01-04",2.64,87.29,16,31.56,21.81,1.06,3.45
"1980-01-05",2.56,93.27,10.6,27.78,21.73,0.94,2.12
"1980-01-06",32.06,87.84,15.76,32,21.12,1.05,2.91
"1980-01-07",3.82,90.54,11.56,29.41,23.27,1.27,2.48
"1980-01-08",8.09,84.43,18.87,31.94,21.53,0.98,4.03
"1980-01-09",8.54,86.07,13.45,30.92,22.27,1.08,2.47
"1980-01-10",13.35,88.12,15.4,31.05,21.52,1.13,2.86
"1980-01-11",2.89,86.37,16.04,31.62,21.33,0.78,3.38
"1980-01-12",0,85.68,18.12,32.59,22.75,0.94,3.45
"1980-01-13",0,87,13.37,31.28,22.59,1.23,2.92
"1980-01-14",15.74,85.31,17.01,31.8,22.39,1.17,3.69
"1980-01-15",7.19,85.92,14.91,31.81,23.14,1.07,3.45
"1980-01-16",5.95,90.73,10.61,28.14,22.28,0.78,2.17
"1980-01-17",17.44,84.94,17.89,32.72,21.69,0.74,3.73
"1980-01-18",12.93,87.92,16.07,31.91,22.3,0.98,3.62
"1980-01-19",6.74,93.6,10.95,28.83,22.5,1.27,2.4
"1980-01-20",7.98,85.84,16.8,31.2,22.28,1.54,3.53
"1980-01-21",1.88,85.54,22.81,32.5,22.08,0.89,4.64
"1980-01-22",1.88,88.55,17.22,33.06,22.55,1.37,4.11
"1980-01-23",16.02,89,12.95,29.61,21.81,1.27,2.95
"1980-01-24",4.2,89.71,10.95,29.42,21.67,1.09,2.52
"1980-01-25",3.2,83.67,20.12,32.44,21.88,1.17,4.63
"1980-01-26",1.93,85.53,21.29,32.41,22.17,1.08,4.44
"1980-01-27",0.5,84.75,22.57,32,23.95,0.84,4.32
"1980-01-28",1.68,85.32,12.94,31.38,23.28,1.45,3.18
"1980-01-29",0.85,87.41,16.05,30.97,22.7,1.51,2.94
"1980-01-30",0.44,85.46,12.15,30.84,22.59,1.28,2.71
"1980-01-31",0,83.35,15.03,33.16,22.75,0.77,3.19
"1980-02-01",7.58,87.72,9.83,29.75,21.48,1.35,2.21
"1980-02-02",29.62,88.57,13.9,31.73,21.66,0.8,2.86
"1980-02-03",20.81,93.58,10,29.5,22.56,1.23,2.24
"1980-02-04",9.85,88.73,13.15,30.5,21.72,1,2.48
"1980-02-05",18.12,80.33,22.18,32.81,22.58,1.24,4.98
"1980-02-06",1.5,75.54,23.48,33.38,23.06,1.57,5.5
"1980-02-07",0,72.7,25.98,33.78,23.11,1.49,6.06
"1980-02-08",0,78.39,18.28,33,22.98,1.61,4.1
"1980-02-09",0,74.46,19.53,33.25,22.64,1,4.64
"1980-02-10",0,77.92,14.98,33,21.89,1.58,3.77
"1980-02-11",0.59,83.52,19.3,32.78,22.89,1.13,4.33
"1980-02-12",9.61,86.65,14.14,31.2,23.33,1,3.28
"1980-02-13",6.69,83.52,13.17,31.8,22.61,0.91,3.03
"1980-02-14",19.03,92.46,11.37,29.47,21.91,1.03,2.23
"1980-02-15",0.24,86.91,11.13,31,21.86,1.05,2.37
"1980-02-16",3.29,85.47,16.07,32.5,22.61,1.63,3.61
"1980-02-17",10.99,87.41,13.61,31.44,22.48,1.15,2.91
"1980-02-18",2.18,80.17,20.61,33,22.39,1.09,4.35
"1980-02-19",0,85.53,23.51,32.59,22.22,1.17,4.49
"1980-02-20",0,75.52,25.72,33.84,22.28,1.56,5.97
"1980-02-21",0,75.22,25.45,34.25,22.39,1.59,6
"1980-02-22",0,83.35,20.86,33.97,22.95,1.48,4.49
"1980-02-23",0.04,78.69,22.53,32.91,22.88,1.31,4.67
"1980-02-24",26.14,86.83,15.64,31.3,22.47,1.36,3.22
"1980-02-25",1.82,85.47,18.16,32.69,22.45,1.67,3.86
"1980-02-26",0,82.3,18.76,33.38,23.16,1.69,4.03
"1980-02-27",0.19,87.48,15.71,32.31,22,1.87,2.76
"1980-02-28",0,76.97,22.64,33.28,23,1.82,5.38
"1980-02-29",0.02,79.16,18.65,33.19,22.95,1.43,4.9
"1980-03-01",0,80.66,18.62,33.03,22.47,1.47,4.08
"1980-03-02",0.01,79.61,15.73,32.25,23.11,1.5,3.74
"1980-03-03",0,80.69,16.83,32.62,23.56,1.18,3.51
"1980-03-04",21.11,87.09,14.86,32.38,22.81,1.72,3.53
"1980-03-05",11.45,85.41,16.41,30.81,22.2,1.4,3.61
"1980-03-06",0.41,86.33,18.41,33.22,22.61,1.28,3.13
"1980-03-07",8.12,87.82,11.22,29.34,23.36,2.6,2.48
"1980-03-08",9.61,87.88,13.41,30.27,21.61,1.75,3.21
"1980-03-09",1.97,89.8,16.19,30.72,22.33,1.33,3.24
"1980-03-10",2.34,88.24,17.08,31.41,22.44,1.89,3.04
"1980-03-11",2.34,84.95,20.6,32.47,22.66,1.57,4.54
"1980-03-12",4.96,86.91,13.49,32.41,22.56,0.93,3.24
"1980-03-13",3.4,88.99,14.91,31.23,22.31,0.51,3.13
"1980-03-14",5.09,88.56,13.41,30.47,23.33,0.85,2.86
"1980-03-15",5.62,85.97,19.81,32.75,23.55,0.84,4.32
"1980-03-16",1.06,88.33,16.61,32.25,22.52,0.53,3.5
"1980-03-17",3.24,91.78,10.48,29.11,22.97,1.11,2.22
"1980-03-18",20.66,85.52,15.85,31.55,22.09,1.24,3.64
"1980-03-19",3.8,83.27,17.82,32.19,23.27,1.38,4.16
"1980-03-20",8.52,93.07,9.74,28,22.81,1.05,2.1
"1980-03-21",15.66,87.45,15.95,30.17,22.31,1.18,3.33
"1980-03-22",10.27,86.78,14.9,31.28,22.84,1.03,3.06
"1980-03-23",6.75,87.08,19.69,33,22.53,0.66,4.26
"1980-03-24",3.33,87.67,18.38,32.16,22.45,1.04,4.31
"1980-03-25",5.34,87.53,19.96,33.03,23.7,1.2,4.56
"1980-03-26",3.89,88.68,10.13,30.47,23.48,0.74,2.45
"1980-03-27",19.14,89.39,14.19,31.72,23.22,0.83,3.38
"1980-03-28",3.71,86.79,18.52,32.81,22.89,0.72,3.99
"1980-03-29",5.98,85.91,11.02,30.03,22.88,1.24,2.53
"1980-03-30",3.19,86.76,15.8,31.66,22.36,1.22,3.76
"1980-03-31",0.61,88.91,14.25,31.75,22.94,1.15,3.31
"1980-04-01",8.07,94.51,12.19,29.98,22.7,1.27,2.12
"1980-04-02",17.38,88.48,10.73,29.72,23.06,1.15,2.46
"1980-04-03",7.91,91.11,13.08,30.48,22.62,1.13,2.55
"1980-04-04",15.15,88.2,12.3,30.55,22.78,1.3,2.65
"1980-04-05",2.51,87.23,15.63,31.61,23.22,0.71,3.02
"1980-04-06",31.94,92.25,11.23,29.03,23.17,1.76,2.41
"1980-04-07",15.76,87.49,12.66,30.52,22.33,1.04,2.68
"1980-04-08",0.48,85.98,20.86,32.72,23.39,1.26,4.54
"1980-04-09",2.08,81.83,23.56,33.16,22.62,1.58,5.32
"1980-04-10",0.05,84.96,17.64,33.19,23.44,1.48,4.13
"1980-04-11",3.62,83.97,17.8,32.91,22.31,1.43,4.12
"1980-04-12",24.52,93.44,9.56,28.38,22.42,1.45,2.05
"1980-04-13",7.98,91.23,12.87,29.81,21.23,1.17,2.32
"1980-04-14",9.27,82.22,22.1,31.83,21.03,1.61,4.7
"1980-04-15",0.52,87.79,17.33,30.53,21.59,1.02,3.45
"1980-04-16",1.55,87.48,17.51,31.48,22.58,1.07,4.09
"1980-04-17",11.78,85.89,19.15,32.12,22.08,0.78,4.26
"1980-04-18",5.21,88.79,15.59,31.81,21.83,1.53,3.38
"1980-04-19",9.52,89.98,12.24,29.84,22.59,1.06,2.51
"1980-04-20",6.41,84.85,17.29,32.09,22.53,1.29,4.12
"1980-04-21",2.02,84.35,17.13,32.59,23.56,0.62,3.89
"1980-04-22",15.16,90.4,10.56,31.09,22.77,1.04,2.22
"1980-04-23",6.21,90.2,9.98,30.03,23.7,1.2,2.3
"1980-04-24",14.99,90.19,12.96,30.14,22.81,0.93,2.9
"1980-04-25",5.17,92.33,12.64,29.16,22.53,0.88,1.96
"1980-04-26",7.01,86.76,19.11,31.91,22.27,0.37,3.73
"1980-04-27",7.64,92.24,13.76,30.92,22.66,0.95,2.95
"1980-04-28",7.1,89.81,15.49,30.73,23.03,0.96,3.58
"1980-04-29",6.98,80.14,20.71,32.12,22.97,1.64,4.99
"1980-04-30",0.27,87.02,15.55,32.47,23.06,1.43,3.65
"1980-05-01",4.38,85.06,16.66,32.75,22.73,0.76,3.69
"1980-05-02",1.7,86.63,13.55,31.44,21.91,1.35,3.31
"1980-05-03",6.82,88.76,11.84,29.36,23.14,0.71,2.74
"1980-05-04",1.2,89.38,13.34,29.8,22.67,1.35,3.06
"1980-05-05",0.74,88.05,16.01,30.84,22.95,0.75,3.29
"1980-05-06",5.41,92.28,13.61,30.31,22.55,1.22,2.77
"1980-05-07",3.6,86.88,19.1,32.44,22.86,1.27,4.29
"1980-05-08",1.35,84.03,19.12,33,22.88,0.84,4.25
"1980-05-09",0.45,82.51,19.72,33.66,22.86,0.72,4.32
"1980-05-10",2.19,88.79,20.03,32.78,23.31,0.91,4.17
"1980-05-11",11.73,81.19,21.89,33,23.64,0.99,4.88
"1980-05-12",0.24,78.58,23.03,33.03,23.95,1.04,5.33
"1980-05-13",0.08,82.3,21.53,33.53,23.83,0.8,4.72
"1980-05-14",14.66,84.91,16.6,32,23.22,1.52,4.1
"1980-05-15",4.05,87.61,16.93,32.19,22.89,1.33,3.72
"1980-05-16",6.36,86.95,14.58,31.53,23.48,1.08,3.43
"1980-05-17",6.86,87.94,15.19,31,22.03,1.12,3.12
"1980-05-18",1.99,82.06,20.91,32.62,22.7,1.04,4.48
"1980-05-19",5.12,86.31,12.01,32.19,23.22,0.96,3.15
"1980-05-20",4.76,80.4,20.54,33.31,22.98,0.87,4.45
"1980-05-21",0.7,80.37,21.13,33.06,22.97,0.89,4.78
"1980-05-22",1.13,81.26,19.24,33.16,23.56,0.85,4.2
"1980-05-23",4.45,77.98,18.68,32.25,23.47,1.4,4.69
"1980-05-24",7.67,93.54,11.15,29.8,23.23,1.4,1.88
"1980-05-25",5.06,86.05,17.25,31.73,22.23,0.78,3.59
"1980-05-26",6.59,83.06,19.64,32.03,22.78,0.99,4.27
"1980-05-27",0.49,78.63,19.56,32.44,22.45,0.82,4.51
"1980-05-28",6.4,87.13,13.87,31.67,22.81,0.96,3.25
"1980-05-29",5.75,87.43,13.73,31.33,22.34,0.86,2.88
"1980-05-30",11.91,89.35,13.23,31.62,22,1.28,2.87
"1980-05-31",1.51,93.58,9.83,30.08,21.69,0.51,2
"1980-06-01",24.25,88.78,10.82,30.91,22.67,0.57,2.28
"1980-06-02",0.9,86.86,13.65,31.56,23.25,0.78,3.15
"1980-06-03",3.95,89.57,11.81,30.8,22.81,0.87,2.51
"1980-06-04",1.86,89.79,15.53,30.7,22.7,0.67,3.21
"1980-06-05",13.16,90.17,9.04,29.52,22.06,1.01,2.12
"1980-06-06",0.32,89.06,12.98,30.75,22.83,0.99,2.51
"1980-06-07",1.92,82.52,20.44,31.61,22.38,0.66,4.12
"1980-06-08",1.39,84.97,14.78,31.67,22.81,0.92,3.5
"1980-06-09",4.6,87.03,12.4,30.3,22.89,1.06,2.63
"1980-06-10",4.03,81.36,15.49,31.89,23.56,0.89,3.57
"1980-06-11",0.07,89.35,10.74,29.62,23.02,0.93,1.89
"1980-06-12",0.23,79.84,21.31,31.83,22.55,1,4.54
"1980-06-13",0.2,78.39,21.35,32.78,22.16,0.64,4.63
"1980-06-14",0,83.69,20.03,32.16,23.12,0.76,4.07
"1980-06-15",4.32,84.53,18.99,32.12,22.91,0.5,3.85
"1980-06-16",4.09,81.22,15.91,31.73,22.59,1.25,3.69
"1980-06-17",5.08,86.85,15.24,30.77,21.92,1.38,3.37
"1980-06-18",3.93,83.57,18.15,31.89,22.81,0.72,4.04
"1980-06-19",0.32,85.1,16.33,32.31,22.06,0.68,3.68
"1980-06-20",17.14,85.84,12.11,31.03,22.47,0.7,2.68
"1980-06-21",10.98,87.59,12.76,30.88,22.03,0.33,1.95
"1980-06-22",7.05,86.79,14.62,31.92,21.92,0.54,3.11
"1980-06-23",1.76,84.06,19.32,31.64,22.02,0.5,3.99
"1980-06-24",0.86,85.65,17.17,31.11,22.03,0.59,3.1
"1980-06-25",10.06,83.98,16.53,31.48,22.53,1.06,3.49
"1980-06-26",2.85,85.22,16.73,31.83,23.17,1.04,3.42
"1980-06-27",1.72,79.32,21.71,32.22,22.44,1.21,4.72
"1980-06-28",0,77.41,21.75,32.69,21.61,0.67,4.38
"1980-06-29",0.77,90.63,14.62,31.52,21.95,1.23,3.06
"1980-06-30",9.65,84.46,17.66,31.69,21.72,0.85,3.76
"1980-07-01",6.39,90.97,8.18,27.02,22.61,1.09,1.82
"1980-07-02",8.37,86.11,14.71,31.23,21.3,0.82,3.02
"1980-07-03",8.41,88.31,12.16,29.2,21.62,1.36,2.58
"1980-07-04",9.88,90.24,8.47,26.59,21.08,1.51,1.86
"1980-07-05",1.59,91.2,9.52,26.67,20.19,0.93,2.06
"1980-07-06",1.5,86.43,14.69,29.94,20.42,0.78,2.92
"1980-07-07",14.73,89.46,13.55,30.89,21.3,0.78,2.92
"1980-07-08",3.29,85.3,18.73,31.69,21.86,0.52,3.62
"1980-07-09",0.91,82.44,18.2,32.25,22.05,0.67,3.82
"1980-07-10",4.52,80.53,20.53,32.19,21.88,0.77,4.38
"1980-07-11",0.11,84.08,19.57,32,21.39,0.94,4.11
"1980-07-12",1.34,76.13,16.58,32,21.78,0.96,3.83
"1980-07-13",1.45,86.82,13.94,30.19,22.11,1.17,2.87
"1980-07-14",4.69,84.23,20.18,32.12,21.23,0.67,3.82
"1980-07-15",8.86,83.53,20.49,32.38,22.38,0.54,4.16
"1980-07-16",0.77,83.79,19.23,32.91,21.78,0.55,3.87
"1980-07-17",0.68,82.1,20.16,32.59,22.12,0.76,4.35
"1980-07-18",2.62,83.86,17.98,32.91,21.84,0.88,3.85
"1980-07-19",0.86,80.36,19.47,32.47,21.36,1,4.44
"1980-07-20",0.14,78.96,20.58,32.91,22.19,0.86,4.76
"1980-07-21",0,77.46,20.82,32.91,22.89,0.97,4.68
"1980-07-22",0.28,70.24,21.88,33.88,22.39,0.47,4.56
"1980-07-23",0,76.89,19.51,33.22,22.14,0.53,4.04
"1980-07-24",1.13,90.42,10,29.84,22.36,0.75,2.08
"1980-07-25",9.36,82.93,18.93,33.16,21.3,0.55,3.94
"1980-07-26",0.74,82.26,18.99,32.31,22.2,0.68,4.02
